label,url_length,hostname_length,path_length,query_length,fragment_length,num_dots,num_hyphens,num_digits,num_special_chars,num_slashes,num_question_marks,num_equals,num_ampersands,num_percent_encoded,num_at_symbols,num_subdomains,hostname_entropy,path_entropy,has_ip,is_https,is_shortener,has_punycode,has_port,has_userinfo,suspicious_tld,suspicious_word_count,brand_word_count,long_url,very_long_url
0,18,10,0,0,0,2,0,0,5,2,0,0,0,0,0,1,2.9219280948873623,0.0,0,1,0,0,0,0,0,0,0,0,0
1,83,74,1,0,0,3,0,13,7,3,0,0,0,0,0,2,4.558710420785421,0.0,0,1,0,0,0,0,1,0,0,1,0
1,32,16,8,0,0,1,1,0,6,3,0,0,0,0,0,0,3.75,2.5,0,1,0,0,0,0,0,0,0,0,0
0,23,15,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.323231428797621,0.0,0,1,0,0,0,0,0,0,0,0,0
1,20,6,7,0,0,1,0,0,5,3,0,0,0,0,0,0,2.584962500721156,2.807354922057604,0,0,0,0,0,0,0,0,0,0,0
1,41,32,1,0,0,2,0,0,6,3,0,0,0,0,0,1,3.9681390622295662,0.0,0,1,0,0,0,0,0,0,0,0,0
1,67,17,42,0,0,2,4,20,11,4,0,0,0,0,0,1,3.2639334294856344,4.023037065532882,0,1,0,0,0,0,0,0,0,0,0
1,27,18,1,0,0,2,0,1,6,3,0,0,0,0,0,1,3.1279868068776753,0.0,0,1,0,0,0,0,0,0,0,0,0
0,28,20,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.584183719779189,0.0,0,1,0,0,0,0,0,0,0,0,0
1,43,16,20,0,0,2,0,0,8,4,0,0,0,0,0,1,3.202819531114783,3.6841837197791887,0,0,0,0,0,0,0,0,1,0,0
0,21,13,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.0269868333592873,0.0,0,1,0,0,0,0,0,0,0,0,0
0,30,22,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.663532754804254,0.0,0,1,0,0,0,0,0,0,0,0,0
0,20,12,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.418295834054489,0.0,0,1,0,0,0,0,0,0,0,0,0
0,35,27,0,0,0,1,2,0,6,2,0,0,0,0,0,0,3.5500976868678835,0.0,0,1,0,0,0,0,0,0,0,0,0
0,17,9,0,0,0,1,0,0,4,2,0,0,0,0,0,0,2.94770277922009,0.0,0,1,0,0,0,0,0,0,0,0,0
1,175,15,108,43,0,2,4,20,23,7,1,3,2,0,0,1,2.973557262275185,5.497955965479628,0,1,0,0,0,0,0,0,1,1,1
1,23,10,5,0,0,1,0,0,6,4,0,0,0,0,0,0,3.121928094887362,1.9219280948873623,0,1,0,0,0,0,0,0,0,0,0
1,132,15,72,36,0,3,6,11,20,6,1,2,1,0,0,1,3.1395722619867223,4.690709814442063,0,1,0,0,0,0,0,3,0,1,0
1,42,34,0,0,0,2,1,6,6,2,0,0,0,0,0,1,4.160704752887782,0.0,0,1,0,0,0,0,0,0,0,0,0
0,24,16,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.5,0.0,0,1,0,0,0,0,0,0,0,0,0
1,175,15,108,43,0,2,2,20,20,7,1,3,2,0,0,1,2.973557262275185,5.529167164710269,0,1,0,0,0,0,0,0,1,1,1
0,19,11,0,0,0,2,0,0,5,2,0,0,0,0,0,1,2.913977073182752,0.0,0,1,0,0,0,0,0,0,0,0,0
0,26,18,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.94770277922009,0.0,0,1,0,0,0,0,0,0,0,0,0
0,17,9,0,0,0,1,0,3,4,2,0,0,0,0,0,0,2.94770277922009,0.0,0,1,0,0,0,0,0,0,0,0,0
0,23,15,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.1898980954642875,0.0,0,1,0,0,0,0,0,0,0,0,0
0,24,16,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.875,0.0,0,1,0,0,0,0,0,0,0,0,0
